scenario_name,day,order,item_type,start_time,end_time,location_id,location_name,category,duration_min,travel_from_previous_min,distance_from_previous_km,entry_fee_adult,predicted_suitability_score,latitude,longitude,reservation_required,recommendation_reason
history_architecture,1,1,location,09:30,11:00,9.0,St. Peter's Basilica,religious,90,0,0.0,0.0,85.79,41.902156829833984,12.453712463378906,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,1,2,location,11:28,12:58,11.0,Castel Sant'Angelo,historic,90,28,1.32,15.0,81.22,41.903099060058594,12.466400146484377,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,1,3,break,12:58,13:58,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
history_architecture,1,4,location,14:25,15:10,4.0,Pantheon,historic,45,27,1.25,5.0,79.52,41.89861679077149,12.47683334350586,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,1,5,location,15:34,17:04,23.0,Trajan's Market,historic,90,24,1.05,15.0,76.92,41.8956184387207,12.486105918884276,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
history_architecture,2,1,location,09:30,11:30,1.0,Colosseum,historic,120,0,0.0,18.0,82.23,41.890262603759766,12.493086814880373,1.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
history_architecture,2,2,location,11:44,13:14,39.0,Domus Aurea,historic,90,14,0.28,16.0,76.37,41.891387939453125,12.495277404785156,1.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
history_architecture,2,3,break,13:14,14:14,,Lunch Break,break,60,0,0.0,0.0,,,,,Gün ortasında dinlenme ve yemek molası.
history_architecture,2,4,location,14:36,16:06,3.0,Palatine Hill,historic,90,22,0.89,18.0,73.74,41.889305114746094,12.487109184265137,0.0,Tarih ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun; gezi temponuzla uyumlu.
history_architecture,2,5,location,16:21,18:21,2.0,Roman Forum,historic,120,15,0.34,18.0,75.39,41.8917236328125,12.486671447753906,0.0,Tarih ilginizle yüksek uyumlu; mimari ilginizle yüksek uyumlu; fotoğraf çekimi için uygun; belirlediğiniz giriş ücreti sınırına uygun.
